"customer_state","product_category_name","category_revenue","total_orders"
"SP","cama_mesa_banho","478284.52","4416"
"SP","beleza_saude","462305.22","3789"
"SP","relogios_presentes","435009.92","2135"
"SP","esporte_lazer","386357.01","3296"
"SP","informatica_acessorios","350747.88","2679"
"SP","moveis_decoracao","286708.02","2724"
"SP","utilidades_domesticas","275378.63","2781"
"SP","automotivo","214277.27","1615"
"SP","cool_stuff","213186.89","1314"
"SP","brinquedos","185561.83","1612"
"RJ","relogios_presentes","185379.65","817"
"SP","perfumaria","166630.55","1365"
"MG","beleza_saude","157558.30","1011"
"SP","bebes","156716.76","1184"
"SP","ferramentas_jardim","153180.74","1267"
"RJ","cama_mesa_banho","148035.23","1393"
"RJ","beleza_saude","145298.62","974"
"MG","cama_mesa_banho","129643.98","1129"
"RJ","esporte_lazer","125148.04","925"
"MG","relogios_presentes","123759.23","611"
"RJ","informatica_acessorios","120289.45","859"
"MG","esporte_lazer","112719.19","867"
"MG","informatica_acessorios","111069.74","877"
"SP","moveis_escritorio","108018.87","510"
"SP","telefonia","104088.28","1521"
"RJ","moveis_decoracao","98427.86","858"
"SP","papelaria","90598.73","982"
"SP","pet_shop","89396.15","771"
"RJ","cool_stuff","83909.95","503"
"MG","moveis_decoracao","78999.74","727"
"MG","utilidades_domesticas","78073.72","702"
"RJ","utilidades_domesticas","77675.57","746"
"RJ","brinquedos","74187.79","552"
"RJ","ferramentas_jardim","73505.37","550"
"MG","automotivo","72851.08","471"
"MG","cool_stuff","72778.48","434"
"SP","eletroportateis","72283.81","281"
"SP","instrumentos_musicais","69582.41","253"
"SP",NULL,"67194.60","589"
"RJ","automotivo","65838.10","413"
"SP","consoles_games","64100.25","462"
"SP","pcs","61993.27","50"
"SP","construcao_ferramentas_construcao","60894.73","337"
"MG","ferramentas_jardim","60649.22","488"
"RS","cama_mesa_banho","60270.74","540"
"PR","relogios_presentes","59967.04","274"
"MG","brinquedos","58888.20","458"
"PR","esporte_lazer","58630.20","428"
"SP","fashion_bolsas_e_acessorios","57242.30","780"
"SP","malas_acessorios","57144.97","420"
"PR","beleza_saude","54949.36","381"
"RS","moveis_decoracao","54813.58","444"
"RJ","perfumaria","54167.88","415"
"RS","esporte_lazer","53788.32","421"
"SP","eletronicos","53164.94","938"
"RS","informatica_acessorios","52757.73","390"
"BA","beleza_saude","51367.91","329"
"RS","beleza_saude","51327.72","396"
"PR","moveis_decoracao","49484.89","397"
"BA","relogios_presentes","48885.59","222"
"MG","perfumaria","48823.98","379"
"RS","relogios_presentes","48152.53","227"
"MG","bebes","47889.38","345"
"RJ","moveis_escritorio","46912.19","217"
"RS","cool_stuff","46676.34","255"
"PR","cama_mesa_banho","45598.47","402"
"PR","informatica_acessorios","44127.09","338"
"SC","esporte_lazer","44116.90","315"
"RJ","bebes","42318.52","345"
"PE","beleza_saude","41604.78","226"
"SC","beleza_saude","39760.16","287"
"RS","utilidades_domesticas","38994.63","350"
"BA","esporte_lazer","38644.61","257"
"RJ","telefonia","38434.07","407"
"SC","informatica_acessorios","37757.13","267"
"PR","cool_stuff","37539.12","203"
"RS","ferramentas_jardim","36678.70","232"
"MG","telefonia","35091.61","460"
