order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
ORD100000,CUST8270,canceled,2018-11-30 00:00:00,2018-12-01 21:00:00,2018-12-02 21:00:00,2018-12-05 21:00:00,2018-12-06 00:00:00
ORD100001,CUST1860,delivered,2017-09-28 00:00:00,2017-09-28 05:00:00,2017-10-01 05:00:00,2017-10-03 05:00:00,2017-10-07 00:00:00
ORD100002,CUST6390,delivered,2017-04-24 00:00:00,2017-04-25 01:00:00,2017-04-28 01:00:00,2017-05-04 01:00:00,2017-05-02 00:00:00
ORD100003,CUST6191,delivered,2019-06-16 00:00:00,2019-06-17 00:00:00,2019-06-20 00:00:00,2019-06-25 00:00:00,2019-06-23 00:00:00
ORD100004,CUST6734,shipped,2018-06-07 00:00:00,2018-06-08 05:00:00,2018-06-12 05:00:00,2018-06-17 05:00:00,2018-06-13 00:00:00
ORD100005,CUST7265,shipped,2017-02-24 00:00:00,2017-02-25 14:00:00,2017-02-27 14:00:00,2017-02-28 14:00:00,2017-03-01 00:00:00
ORD100006,CUST1466,delivered,2019-02-09 00:00:00,2019-02-10 09:00:00,2019-02-11 09:00:00,2019-02-14 09:00:00,2019-02-18 00:00:00
ORD100007,CUST5426,delivered,2017-03-06 00:00:00,2017-03-06 10:00:00,2017-03-07 10:00:00,2017-03-08 10:00:00,2017-03-12 00:00:00
ORD100008,CUST6578,delivered,2018-11-15 00:00:00,2018-11-16 13:00:00,2018-11-19 13:00:00,2018-11-22 13:00:00,2018-11-22 00:00:00
ORD100009,CUST9322,processing,2017-09-29 00:00:00,2017-09-30 09:00:00,2017-10-04 09:00:00,2017-10-05 09:00:00,2017-10-05 00:00:00
ORD100010,CUST2685,delivered,2018-05-17 00:00:00,2018-05-17 23:00:00,2018-05-21 23:00:00,2018-05-26 23:00:00,2018-05-26 00:00:00
ORD100011,CUST1769,processing,2018-10-24 00:00:00,2018-10-24 11:00:00,2018-10-25 11:00:00,2018-10-31 11:00:00,2018-11-01 00:00:00
ORD100012,CUST7949,delivered,2017-12-28 00:00:00,2017-12-29 00:00:00,2018-01-01 00:00:00,2018-01-06 00:00:00,2018-01-02 00:00:00
