"customer_state","total_revenue","total_orders"
"SP","5998226.96","41745"
"RJ","2144379.69","12852"
"MG","1872257.26","11635"
"RS","890898.54","5466"
"PR","811156.38","5045"
"SC","623086.43","3637"
"BA","616645.82","3380"
"DF","355141.08","2140"
"GO","350092.31","2020"
"ES","325967.55","2033"
"PE","324850.44","1652"
"CE","279464.03","1336"
"PA","218295.85","975"
"MT","187029.29","907"
"MA","152523.02","747"
"PB","141545.72","536"
"MS","137534.84","715"
"PI","108523.97","495"
"RN","102718.13","485"
"AL","96962.06","413"
"SE","75246.25","350"
"TO","61485.33","280"
"RO","60866.20","253"
"AM","27966.93","148"
"AC","19680.62","81"
"AP","16262.80","68"
"RR","10064.62","46"
